date,E_Conductivity,TempInSitu,Serial,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,A,B,Sp_Conductance,Sp_Conductance_cal,SalinityInSitu_2pCal
2021-01-19T10:53:00Z,40035,29.25,CT_324,107.149,29.352,0.548,WL_877,1.07149,12.74615775,138.25,44008.64866166067,46608.10169198359,30.25702876960939
2021-01-19T10:54:00Z,40015.4,29.27,CT_324,106.824,29.352,0.516,WL_877,1.06824,12.773872004400001,138.27,44006.05761037288,46605.356516476364,30.255037807058454
2021-01-19T10:55:00Z,40015.4,29.26,CT_324,106.986,29.352,0.532,WL_877,1.06986,12.760014793600003,138.26,43996.58004668166,46595.31519624625,30.247751648004037
2021-01-19T10:56:00Z,40038.9,29.29,CT_324,107.239,29.352,0.557,WL_877,1.0723900000000002,12.801586927599999,138.29,44050.869858791375,46652.834344245355,30.289488757224298
2021-01-19T10:57:00Z,39999.7,29.27,CT_324,106.842,29.352,0.518,WL_877,1.06842,12.773872004400001,138.27,43988.79188006698,46587.06376396562,30.24176522932828
2021-01-19T10:58:00Z,40082.1,29.31,CT_324,106.661,29.352,0.5,WL_877,1.06661,12.829302519599999,138.31,44117.390858435916,46723.312230885866,30.34064302906114
2021-01-19T10:59:00Z,40062.4,29.3,CT_324,106.842,29.352,0.518,WL_877,1.06842,12.81544464,138.3,44086.2156779717,46690.28264855104,30.316668159380093
2021-01-19T11:00:00Z,40042.8,29.31,CT_324,106.77,29.352,0.51,WL_877,1.0677,12.829302519599999,138.31,44074.1343059914,46677.482636984176,30.307378284492508
2021-01-19T11:01:00Z,40042.8,29.29,CT_324,106.607,29.352,0.494,WL_877,1.06607,12.801586927599999,138.29,44055.160645812226,46657.38036133575,30.29278962518417
2021-01-19T11:02:00Z,40062.4,29.29,CT_324,106.878,29.352,0.521,WL_877,1.06878,12.801586927599999,138.29,44076.72460109652,46680.22701132851,30.309369777374705
2021-01-19T11:03:00Z,40019.3,29.26,CT_324,107.203,29.352,0.553,WL_877,1.07203,12.760014793600003,138.26,44000.86806235018,46599.858277135194,30.251047345943025
2021-01-19T11:04:00Z,40031,29.2,CT_324,107.221,29.352,0.555,WL_877,1.07221,12.67687504,138.2,43956.8612219104,46553.233765650184,30.217220667064456
2021-01-19T11:05:00Z,40011.4,29.19,CT_324,107.402,29.352,0.573,WL_877,1.07402,12.663018999600002,138.19,43925.86797603637,46520.39693997102,30.19340000278252
2021-01-19T11:06:00Z,40042.8,29.19,CT_324,106.838,29.252,0.517,WL_877,1.0683799999999999,12.663018999600002,138.19,43960.33995788273,46556.91942823523,30.21989552301195
2021-01-19T11:07:00Z,39984,29.15,CT_324,106.929,29.252,0.526,WL_877,1.06929,12.607596509999999,138.15,43857.93695035911,46448.42515432982,30.141201928669986
2021-01-19T11:08:00Z,39972.3,29.1,CT_324,106.64,29.252,0.497,WL_877,1.0664,12.538322160000003,138.1,43797.82208972319,46384.73446483405,30.095020485345373
